Product,Name,Rating,CommentHead,Comment
redmi10,Rupam Dhara,5,Fabulous!,"Good phone in this price range, battery backup good, camera ok ok, and performance very very good ğŸ”¥ I am mi love And very fast delivery Flipkart, thanks"
redmi10,Soumadip Mondal,4,Wonderful,Very nice mobile ğŸ¥³ğŸ˜ŠPerformance is very good ğŸ˜ŠCamera quality good ğŸ˜ŠGood zooming colour boost âœ¨I love itğŸ˜˜Thank you Flipkart ğŸ˜‡âœ¨
redmi10,Kuldeep Singh,5,Simply awesome,Good phone very nice working and good performance nice look
redmi10,Nilesh  Gaidhani,4,Good quality product,"This phone camera is not good but you can use if you are a first phone buyerBattery is awesome after heavy use also not need to charge in a day Display also impresive in this segment HD+ 6.7inch quality was goodSpeaker is loud and clear no any problemPerformance is sometimes not good you can play candy crush game but frame drops are so high, I think I am using right now 90hz panel bcoz i feel poco M4 pro .Now your i first smartphone buyer this phone is great"
redmi10,Flipkart Customer,5,Best in the market!,Better backup osm ans camere clarity is very good ğŸ˜Š i am happy for this product bec this product is excellent and this budget price is good  very happy ğŸ˜
redmi10,nitish gaurav,5,Wonderful,I m a regular customer of Mi ...redmi 10is awesome ğŸ‘. It's charging is very fast ...i m giving this review after 2 months ....i m satisfied with this ...plz go for this guys ..really awesome ğŸ‘ products...thanks Flipkart
redmi10,Deepak kumar Shrivastava,5,Brilliant,Awesome ğŸ˜ Product Redmi has made cool phone this phone camera clicks a photo with HDR which will rock . And performance is the main thing in redmi . Front camera is ğŸ¤³ 5 mega pixel but comes like 18 mega pixel. Although Redmi 10 is rocking phone.
redmi10,Rahul Dhochak,5,Wonderful,Mobile is best in this price rangeProcessor Qualcomm Snapdragon 680 is really powerful for multitasking and gamingCamera ğŸ“· Night mode is amazing ğŸ¤©Battery life is outstanding fabulous performanceReal 6000 MahOverall excellent performance5 star for Flipkart services
redmi10,Amal Varghese,4,Wonderful,"Faster delivery,The Smartphone is budget and has spec that is Value for money, It is balanced in that area. Performance is good for the price. Battery is also good. But the software or UI experience is mostly trash."
redmi10,Sharda  Verma,4,Value-for-money,"Deducted 1 star coz of late delivery. Talking about the phone,in such budget, it's amazing, it's providing much more features than other brands. Big screen,sturdy plastic body, back cam is also awesome. Front camera is not very excellent but it's ok ok in this price. It has the big battery so also takes much time to charge. The charger provided in the box is kind of normal not fast charger. Display resolution and quality is good. Overall this phone is good if you are on a budget. Only downs..."
redmi10,No Name,No Rating,No Comment Heading,"Deducted 1 star coz of late delivery. Talking about the phone,in such budget, it's amazing, it's providing much more features than other brands. Big screen,sturdy plastic body, back cam is also awesome. Front camera is not very excellent but it's ok ok in this price. It has the big battery so also takes much time to charge. The charger provided in the box is kind of normal not fast charger. Display resolution and quality is good. Overall this phone is good if you are on a budget. Only downs..."
